FPS,30,NrOfObjects,7,LFoot,False,RFoot,False,Hip,True,Head,False,HandsPLayer,False
LFootTracker.x,LFootTracker.y,LFootTracker.z,LFootTracker.rx,LFootTracker.ry,LFootTracker.rz,LFootTracker.rw,RFootTracker.x,RFootTracker.y,RFootTracker.z,RFootTracker.rx,RFootTracker.ry,RFootTracker.rz,RFootTracker.rw,HiptrackerBack.x,HiptrackerBack.y,HiptrackerBack.z,HiptrackerBack.rx,HiptrackerBack.ry,HiptrackerBack.rz,HiptrackerBack.rw,ControlerForCalibration.x,ControlerForCalibration.y,ControlerForCalibration.z,ControlerForCalibration.rx,ControlerForCalibration.ry,ControlerForCalibration.rz,ControlerForCalibration.rw,HeadTracker.x,HeadTracker.y,HeadTracker.z,HeadTracker.rx,HeadTracker.ry,HeadTracker.rz,HeadTracker.rw,LeftHandShadow.x,LeftHandShadow.y,LeftHandShadow.z,LeftHandShadow.rx,LeftHandShadow.ry,LeftHandShadow.rz,LeftHandShadow.rw,RightHandShadow.x,RightHandShadow.y,RightHandShadow.z,RightHandShadow.rx,RightHandShadow.ry,RightHandShadow.rz,RightHandShadow.rw,
-0.1955798, 0.1369676, 0.3966542,-0.7253867, 0.0940699, 0.08879325, -0.6760775,-0.06390595, 0.1318409, 0.2239363,0.7505308, 0.2871623, 0.08017994, 0.5897564,-0.02967764, 1.008477, 0.04072116,-0.1872078, 0.161271, 0.004875178, -0.9689795,0, 0, 0,0, 0, 0, 1,-0.2174546, 1.320005, 0.4802976,-0.3155583, 0.05389795, -0.034485, -0.9467464,-0.5134799, 0.3564071, 0.8099158,-0.5952831, -0.13969, -0.01065337, -0.7912088,-0.128115, 0.8117472, 0.8501077,0.3000855, 0.1179315, 0.03341586, 0.9460045,
-0.1953402, 0.1364256, 0.3971598,-0.7265884, 0.09612308, 0.08898014, -0.674472,-0.06391598, 0.1319901, 0.2241407,0.7522105, 0.2860981, 0.08029176, 0.588116,-0.02973401, 1.008153, 0.04026106,-0.1869022, 0.1609487, 0.005246184, -0.9690901,0, 0, 0,0, 0, 0, 1,-0.2168964, 1.31998, 0.4802733,-0.3155794, 0.05397885, -0.03439223, -0.9467382,-0.5142179, 0.3557155, 0.8077514,-0.6016287, -0.1365346, -0.01261016, -0.7869195,-0.1283761, 0.8120552, 0.8498389,0.3001482, 0.1179255, 0.03262831, 0.9460128,
-0.1950631, 0.1359827, 0.3976151,-0.7272911, 0.09754808, 0.08916743, -0.6734846,-0.0639256, 0.1318359, 0.224068,0.7509304, 0.286723, 0.08039191, 0.5894324,-0.02977919, 1.008058, 0.03997003,-0.1867788, 0.1611487, 0.005516174, -0.9690791,0, 0, 0,0, 0, 0, 1,-0.2157194, 1.319857, 0.4801547,-0.3154029, 0.05408553, -0.0340732, -0.9468024,-0.5131392, 0.355511, 0.8069185,-0.6016284, -0.136511, -0.01262822, -0.7869235,-0.1275803, 0.811986, 0.8499057,0.3003047, 0.1179383, 0.03222688, 0.9459752,
-0.194684, 0.1355332, 0.3983423,-0.7302293, 0.09953926, 0.09121296, -0.6697295,-0.06366234, 0.1317579, 0.2243353,0.7528253, 0.2855087, 0.08039041, 0.5876023,-0.02983653, 1.007857, 0.03972818,-0.1867866, 0.1610162, 0.005621865, -0.969099,0, 0, 0,0, 0, 0, 1,-0.2150626, 1.319782, 0.4801019,-0.3152511, 0.05392198, -0.03360647, -0.946879,-0.513168, 0.3549781, 0.8049723,-0.6044396, -0.1345922, -0.01391872, -0.7850758,-0.1273156, 0.8124284, 0.8497844,0.3003039, 0.1179135, 0.03223475, 0.9459783,
-0.1945981, 0.1352594, 0.3986853,-0.7315932, 0.1014373, 0.09171483, -0.6678851,-0.0635804, 0.1321115, 0.2241158,0.7522607, 0.285593, 0.08020929, 0.5883085,-0.02993104, 1.007718, 0.03914348,-0.1867161, 0.1592706, 0.00569952, -0.9694006,0, 0, 0,0, 0, 0, 1,-0.2143146, 1.319752, 0.4798321,-0.3149587, 0.0536883, -0.0331772, -0.9470047,-0.5123299, 0.3549642, 0.8041492,-0.6044393, -0.1345748, -0.01393209, -0.7850788,-0.1268867, 0.8123678, 0.8495865,0.3004312, 0.1180705, 0.03192998, 0.9459286,
-0.1945225, 0.1351977, 0.3986391,-0.7313272, 0.1027022, 0.09155382, -0.6680051,-0.06361745, 0.1321509, 0.2239631,0.7517146, 0.2858357, 0.08043638, 0.5888574,-0.02996155, 1.007482, 0.03875604,-0.1867498, 0.158192, 0.005870808, -0.9695697,0, 0, 0,0, 0, 0, 1,-0.2137485, 1.319747, 0.4795798,-0.3147312, 0.05303917, -0.03257537, -0.9471378,-0.5122334, 0.3546199, 0.8022534,-0.6068734, -0.1326508, -0.01540705, -0.7834993,-0.1266565, 0.8129158, 0.8493646,0.3004309, 0.1180599, 0.03193337, 0.9459299,
-0.1949089, 0.135662, 0.398636,-0.7319231, 0.1000487, 0.08984725, -0.6679869,-0.06333978, 0.132392, 0.2240831,0.7527148, 0.2851343, 0.08030914, 0.5879365,-0.03006981, 1.007352, 0.03828921,-0.186867, 0.1575571, 0.006219599, -0.9696483,0, 0, 0,0, 0, 0, 1,-0.2130244, 1.319831, 0.4793218,-0.3145059, 0.05260016, -0.03211253, -0.9472529,-0.5113359, 0.3548175, 0.8019303,-0.6068733, -0.1326442, -0.01541212, -0.7835004,-0.1262071, 0.8128421, 0.8491813,0.3007873, 0.1185385, 0.03131051, 0.9457777,
-0.1949453, 0.1355813, 0.3983172,-0.7294449, 0.09986879, 0.08667666, -0.6711363,-0.06312279, 0.1327771, 0.2237522,0.7518848, 0.2852307, 0.07944569, 0.589068,-0.03027696, 1.00701, 0.03762764,-0.1870737, 0.1568257, 0.006655911, -0.9697241,0, 0, 0,0, 0, 0, 1,-0.212467, 1.319888, 0.4788715,-0.3141877, 0.05192823, -0.03133403, -0.9474217,-0.5112461, 0.3545766, 0.7997704,-0.6088247, -0.1306182, -0.01686731, -0.7822959,-0.1264459, 0.8131086, 0.8487756,0.3007873, 0.1185379, 0.03131068, 0.9457777,
-0.19483, 0.1352551, 0.3988415,-0.7316404, 0.1005589, 0.08961585, -0.668251,-0.06303897, 0.1329455, 0.2235132,0.7514984, 0.2851252, 0.07894966, 0.5896786,-0.03043368, 1.006629, 0.0368639,-0.1868854, 0.1554924, 0.007212486, -0.9699711,0, 0, 0,0, 0, 0, 1,-0.2118452, 1.320259, 0.4783902,-0.3138699, 0.05112357, -0.03073177, -0.9475905,-0.5104361, 0.355069, 0.7992173,-0.6088247, -0.130624, -0.01686284, -0.782295,-0.126244, 0.8140059, 0.8484105,0.3008033, 0.11893, 0.03127825, 0.9457245,
-0.1951545, 0.1353738, 0.3989326,-0.7322602, 0.1005361, 0.08785708, -0.667809,-0.06281032, 0.1336153, 0.2231767,0.7515419, 0.2855728, 0.07889554, 0.5894136,-0.03046802, 1.006298, 0.03613215,-0.1865172, 0.1542538, 0.007371875, -0.9702385,0, 0, 0,0, 0, 0, 1,-0.2109911, 1.320271, 0.4777042,-0.3131898, 0.05059662, -0.0300953, -0.9478642,-0.5100684, 0.3551195, 0.7976951,-0.6105008, -0.1286237, -0.01818209, -0.7812902,-0.125897, 0.8137982, 0.8480184,0.3008036, 0.1189374, 0.03127594, 0.9457235,
