FPS,30,NrOfObjects,7,LFoot,False,RFoot,False,Hip,True,Head,False,HandsPLayer,False
LFootTracker.x,LFootTracker.y,LFootTracker.z,LFootTracker.rx,LFootTracker.ry,LFootTracker.rz,LFootTracker.rw,RFootTracker.x,RFootTracker.y,RFootTracker.z,RFootTracker.rx,RFootTracker.ry,RFootTracker.rz,RFootTracker.rw,HiptrackerBack.x,HiptrackerBack.y,HiptrackerBack.z,HiptrackerBack.rx,HiptrackerBack.ry,HiptrackerBack.rz,HiptrackerBack.rw,ControlerForCalibration.x,ControlerForCalibration.y,ControlerForCalibration.z,ControlerForCalibration.rx,ControlerForCalibration.ry,ControlerForCalibration.rz,ControlerForCalibration.rw,HeadTracker.x,HeadTracker.y,HeadTracker.z,HeadTracker.rx,HeadTracker.ry,HeadTracker.rz,HeadTracker.rw,LeftHandShadow.x,LeftHandShadow.y,LeftHandShadow.z,LeftHandShadow.rx,LeftHandShadow.ry,LeftHandShadow.rz,LeftHandShadow.rw,RightHandShadow.x,RightHandShadow.y,RightHandShadow.z,RightHandShadow.rx,RightHandShadow.ry,RightHandShadow.rz,RightHandShadow.rw,
-0.2342755, 0.1452278, 0.2017321,-0.7650611, 0.1618456, 0.02649558, -0.6227244,-0.0394209, 0.1197034, 0.4391738,-0.7173963, -0.05777188, -0.3131641, -0.6196234,0.1346859, 1.015878, 0.2347127,-0.2423523, 0.3647371, 0.01138989, -0.8989452,0, 0, 0,0, 0, 0, 1,-0.08540002, 1.423324, 0.5761825,-0.09654631, 0.364691, -0.06541229, -0.9237968,-0.3134714, 1.21552, 0.7398158,0.3266782, -0.4339333, -0.05503801, -0.837827,-0.1151595, 0.8632632, 0.8944188,0.3196462, -0.07887721, -0.05672918, 0.9425426,
-0.2346445, 0.1459409, 0.2010978,-0.7645025, 0.1565486, 0.03004807, -0.6246006,-0.03982992, 0.1201352, 0.4391902,-0.7174795, -0.05757915, -0.3132909, -0.619481,0.1329413, 1.016205, 0.232203,-0.2416584, 0.3635856, 0.01200082, -0.8995903,0, 0, 0,0, 0, 0, 1,-0.08544494, 1.42502, 0.5724348,-0.09707799, 0.363039, -0.06332527, -0.9245369,-0.3125861, 1.218019, 0.735889,0.3274697, -0.4342975, -0.05441821, -0.8373697,-0.1149685, 0.86639, 0.894711,0.3234371, -0.07247791, -0.06277469, 0.9413792,
-0.2347642, 0.1462326, 0.2006997,-0.7643888, 0.1539327, 0.03343013, -0.6252176,-0.03993856, 0.1203124, 0.4390681,-0.7174993, -0.05743781, -0.3134828, -0.6193739,0.1320306, 1.016508, 0.230749,-0.2409414, 0.3621599, 0.01222899, -0.9003544,0, 0, 0,0, 0, 0, 1,-0.08544702, 1.425773, 0.5710059,-0.09734489, 0.3623712, -0.06271701, -0.9248123,-0.3122836, 1.218624, 0.7349905,0.3279857, -0.4346054, -0.05391323, -0.8370405,-0.1149016, 0.8675198, 0.8941818,0.3234362, -0.07246475, -0.0627792, 0.9413802,
-0.2347466, 0.1465476, 0.2000695,-0.7642106, 0.1495842, 0.03816232, -0.6262192,-0.04001503, 0.1203735, 0.4390616,-0.7175438, -0.05745105, -0.3134353, -0.6193452,0.1310001, 1.01674, 0.2293095,-0.2401035, 0.3604931, 0.01236049, -0.9012449,0, 0, 0,0, 0, 0, 1,-0.08528917, 1.426584, 0.5694079,-0.09761184, 0.3616008, -0.06251495, -0.9250993,-0.31183, 1.219511, 0.7334422,0.3279848, -0.4346211, -0.05391936, -0.8370324,-0.1149233, 0.8692765, 0.8943192,0.3232966, -0.0696927, -0.06419359, 0.9415421,
-0.2348996, 0.1471334, 0.1990998,-0.7633287, 0.1442372, 0.04219459, -0.6282872,-0.03965317, 0.1202529, 0.4393187,-0.7176459, -0.05683528, -0.3134884, -0.6192569,0.1300918, 1.016898, 0.228161,-0.2395212, 0.3589896, 0.01281913, -0.9019932,0, 0, 0,0, 0, 0, 1,-0.08517621, 1.427578, 0.5677631,-0.09784058, 0.3605347, -0.06258007, -0.9254867,-0.3107889, 1.220608, 0.7311757,0.3284418, -0.4352998, -0.05362329, -0.8365194,-0.11483, 0.8707799, 0.8935379,0.323295, -0.0696689, -0.06420176, 0.9415439,
-0.2349127, 0.1475981, 0.1981014,-0.7627559, 0.138647, 0.04718068, -0.6298846,-0.03966642, 0.1202948, 0.4393537,-0.7176934, -0.05670654, -0.3134202, -0.619248,0.1288949, 1.017055, 0.226607,-0.2387566, 0.3576758, 0.01311731, -0.9027133,0, 0, 0,0, 0, 0, 1,-0.08506723, 1.428559, 0.5659915,-0.09809323, 0.3592449, -0.06270129, -0.9259532,-0.3099748, 1.221563, 0.7290452,0.3284398, -0.4353308, -0.05363549, -0.8365033,-0.1145204, 0.8729709, 0.8934738,0.3224604, -0.06761751, -0.0628585, 0.9420701,
-0.2347925, 0.1480887, 0.1962222,-0.7616383, 0.130146, 0.0535315, -0.6325375,-0.03969876, 0.1204488, 0.4394188,-0.7177019, -0.0565425, -0.3135309, -0.6191972,0.12774, 1.01727, 0.2249584,-0.238006, 0.3563074, 0.01315814, -0.9034517,0, 0, 0,0, 0, 0, 1,-0.08506779, 1.429714, 0.5639988,-0.0982719, 0.3573683, -0.06301945, -0.9266386,-0.3094583, 1.222715, 0.7275555,0.3288497, -0.4363842, -0.05344077, -0.8358055,-0.1141833, 0.8750331, 0.8926985,0.322457, -0.06756701, -0.06287578, 0.9420737,
-0.2346133, 0.1486063, 0.1946883,-0.7607769, 0.1234124, 0.05871181, -0.634461,-0.03964939, 0.1205623, 0.4394795,-0.7178898, -0.05633534, -0.3135411, -0.618993,0.1264062, 1.017429, 0.2232286,-0.2372343, 0.3544782, 0.01323942, -0.9043726,0, 0, 0,0, 0, 0, 1,-0.08512676, 1.430868, 0.5618449,-0.09834991, 0.3553304, -0.06325006, -0.927398,-0.3084589, 1.223782, 0.7253084,0.3291036, -0.438177, -0.05379221, -0.8347444,-0.1137375, 0.8773502, 0.8920528,0.3215046, -0.06547232, -0.06256517, 0.9425677,
-0.2344292, 0.1490954, 0.1931916,-0.7602425, 0.1181175, 0.06489229, -0.6355067,-0.03972084, 0.1205478, 0.4394121,-0.7180258, -0.0562302, -0.3134791, -0.6188764,0.1250434, 1.017601, 0.2217355,-0.2366221, 0.352383, 0.01350243, -0.9053474,0, 0, 0,0, 0, 0, 1,-0.08516511, 1.432106, 0.5595863,-0.09834319, 0.3533784, -0.06373855, -0.9281108,-0.3076651, 1.225068, 0.7231033,0.3290995, -0.4382394, -0.0538168, -0.8347116,-0.1133649, 0.8797779, 0.8912353,0.3207828, -0.06318722, -0.06383905, 0.9428841,
-0.2342899, 0.1489965, 0.1902667,-0.761866, 0.1166205, 0.08326058, -0.6316864,-0.03974506, 0.1205862, 0.4395658,-0.7183498, -0.05594689, -0.3134679, -0.6185317,0.1219029, 1.017906, 0.2180346,-0.2341314, 0.3469597, 0.01357837, -0.9080843,0, 0, 0,0, 0, 0, 1,-0.08537287, 1.433403, 0.5572258,-0.09811373, 0.3513758, -0.06444324, -0.9288465,-0.306343, 1.226551, 0.7200853,0.3293101, -0.4404604, -0.05467452, -0.8334028,-0.1119684, 0.8838612, 0.8901254,0.3193473, -0.06070101, -0.06926826, 0.9431515,
