FPS,30,NrOfObjects,7,LFoot,False,RFoot,False,Hip,True,Head,False,HandsPLayer,False
LFootTracker.x,LFootTracker.y,LFootTracker.z,LFootTracker.rx,LFootTracker.ry,LFootTracker.rz,LFootTracker.rw,RFootTracker.x,RFootTracker.y,RFootTracker.z,RFootTracker.rx,RFootTracker.ry,RFootTracker.rz,RFootTracker.rw,HiptrackerBack.x,HiptrackerBack.y,HiptrackerBack.z,HiptrackerBack.rx,HiptrackerBack.ry,HiptrackerBack.rz,HiptrackerBack.rw,ControlerForCalibration.x,ControlerForCalibration.y,ControlerForCalibration.z,ControlerForCalibration.rx,ControlerForCalibration.ry,ControlerForCalibration.rz,ControlerForCalibration.rw,HeadTracker.x,HeadTracker.y,HeadTracker.z,HeadTracker.rx,HeadTracker.ry,HeadTracker.rz,HeadTracker.rw,LeftHandShadow.x,LeftHandShadow.y,LeftHandShadow.z,LeftHandShadow.rx,LeftHandShadow.ry,LeftHandShadow.rz,LeftHandShadow.rw,RightHandShadow.x,RightHandShadow.y,RightHandShadow.z,RightHandShadow.rx,RightHandShadow.ry,RightHandShadow.rz,RightHandShadow.rw,
-0.1786328, 0.1355199, 0.4498191,-0.7304854, 0.09838592, 0.1288798, -0.6634015,-0.02280048, 0.1256117, 0.5496486,0.7484341, 0.1929568, 0.179698, 0.6085414,-0.09324242, 1.023242, 0.1941234,-0.190244, 0.07767423, 0.001678189, -0.9786578,0, 0, 0,0, 0, 0, 1,-0.2224362, 1.351004, 0.6750647,-0.1305135, 0.03830053, -0.01341211, -0.9906157,-0.2807366, 0.8167241, 0.8301224,-0.4704828, -0.2484936, -0.1320014, -0.8363448,-0.2420619, 0.819521, 0.8076283,0.2895596, 0.1229788, -0.06278959, 0.9471478,
-0.1788809, 0.1357205, 0.4498002,-0.7305455, 0.09833468, 0.1289416, -0.6633309,-0.02295136, 0.1256419, 0.5495425,0.747884, 0.1931309, 0.1797821, 0.6091372,-0.09402047, 1.023261, 0.1936588,-0.1906037, 0.07697315, 0.002031655, -0.9786426,0, 0, 0,0, 0, 0, 1,-0.2221, 1.35104, 0.6750821,-0.1300954, 0.03809175, -0.01292046, -0.9906853,-0.2814728, 0.815995, 0.8300171,-0.4709215, -0.2481572, -0.1315838, -0.8362635,-0.2421255, 0.8220771, 0.808703,0.2895643, 0.1229078, -0.06276789, 0.947157,
-0.1786944, 0.1355879, 0.4498721,-0.7304938, 0.09832937, 0.1288837, -0.6633998,-0.02290112, 0.1256242, 0.5496182,0.7482452, 0.1928972, 0.1795332, 0.6088412,-0.09432145, 1.023276, 0.1934383,-0.1907953, 0.07640022, 0.002230916, -0.9786497,0, 0, 0,0, 0, 0, 1,-0.2216772, 1.351092, 0.675138,-0.1297539, 0.03803714, -0.01244558, -0.9907383,-0.2821867, 0.8153692, 0.8299787,-0.4713657, -0.2477334, -0.1311997, -0.8361993,-0.2419569, 0.8238548, 0.8097123,0.2906256, 0.1234815, -0.06373747, 0.9466925,
-0.1787311, 0.1356007, 0.4498832,-0.7304966, 0.09841389, 0.1289126, -0.6633787,-0.0228429, 0.1255694, 0.549618,0.748368, 0.1928179, 0.1796837, 0.6086709,-0.09460889, 1.023229, 0.1931962,-0.1907836, 0.07605128, 0.002410696, -0.9786788,0, 0, 0,0, 0, 0, 1,-0.2210014, 1.351012, 0.6752513,-0.1288727, 0.03742366, -0.01091529, -0.9908947,-0.28168, 0.815175, 0.8299581,-0.4716782, -0.2477184, -0.1308316, -0.8360853,-0.2412486, 0.8242576, 0.8099208,0.2906305, 0.1234104, -0.06371563, 0.9467018,
-0.1788144, 0.1357002, 0.4497866,-0.7305776, 0.09821831, 0.1288057, -0.6633391,-0.02284352, 0.1255706, 0.5496435,0.7485382, 0.1927081, 0.1796234, 0.6085143,-0.09493081, 1.023215, 0.1929318,-0.1908157, 0.07594343, 0.002489756, -0.9786806,0, 0, 0,0, 0, 0, 1,-0.2208356, 1.350958, 0.6751952,-0.1286393, 0.0366973, -0.01009194, -0.9909609,-0.2818314, 0.8148021, 0.8298806,-0.4716696, -0.2476637, -0.1308624, -0.8361014,-0.24128, 0.8245134, 0.8100423,0.2906346, 0.1233484, -0.06369662, 0.9467098,
-0.1788696, 0.1357995, 0.4497867,-0.730794, 0.09808571, 0.1285625, -0.6631676,-0.02276298, 0.1255176, 0.549696,0.7487124, 0.1925422, 0.1795146, 0.6083846,-0.09528565, 1.023215, 0.1927419,-0.190612, 0.07504982, 0.002504673, -0.9787892,0, 0, 0,0, 0, 0, 1,-0.2206077, 1.350902, 0.6750107,-0.1286997, 0.03604681, -0.009251781, -0.9909851,-0.2819379, 0.8143021, 0.8296883,-0.4716616, -0.2476124, -0.1308913, -0.8361166,-0.2411577, 0.8246801, 0.8102155,0.2905332, 0.1233782, -0.06301708, 0.9467825,
-0.1790082, 0.135853, 0.4497522,-0.7307876, 0.09796887, 0.1284321, -0.6632172,-0.02273257, 0.1254773, 0.5497513,0.7488804, 0.1924442, 0.1797248, 0.6081467,-0.09557549, 1.023173, 0.1924276,-0.1905298, 0.07397582, 0.00259525, -0.9788867,0, 0, 0,0, 0, 0, 1,-0.2203938, 1.35099, 0.6747386,-0.1290759, 0.03536183, -0.008698313, -0.9909658,-0.282098, 0.8138375, 0.8293865,-0.4721318, -0.2473192, -0.1309598, -0.8359272,-0.2411124, 0.8246919, 0.810169,0.2905368, 0.1233234, -0.06300026, 0.9467897,
-0.1791369, 0.1359678, 0.4498164,-0.7310147, 0.09779678, 0.1282222, -0.6630328,-0.02269493, 0.1253075, 0.5498172,0.7490767, 0.1921622, 0.1796044, 0.6080296,-0.09588055, 1.023238, 0.1920898,-0.1906206, 0.07291298, 0.002715893, -0.9789485,0, 0, 0,0, 0, 0, 1,-0.2200824, 1.351025, 0.6745041,-0.129327, 0.03474412, -0.008316965, -0.9909582,-0.2822337, 0.8133278, 0.8290535,-0.4729774, -0.2468043, -0.1307347, -0.8356366,-0.2409216, 0.8248372, 0.8101225,0.2902675, 0.1234709, -0.06231991, 0.9468982,
-0.1792093, 0.1360197, 0.4499025,-0.7314494, 0.09748604, 0.1280011, -0.6626417,-0.02260388, 0.1252886, 0.5498836,0.7493815, 0.1918214, 0.1794234, 0.6078151,-0.09619274, 1.023186, 0.19172,-0.1907913, 0.07231047, 0.002828767, -0.9789596,0, 0, 0,0, 0, 0, 1,-0.2198247, 1.351011, 0.6743006,-0.129399, 0.03416647, -0.00787365, -0.9909726,-0.2824107, 0.8128255, 0.8288314,-0.4729702, -0.2467579, -0.130761, -0.8356503,-0.2409483, 0.8227382, 0.8095589,0.2897706, 0.1239801, -0.06266595, 0.9469609,
-0.1793979, 0.1361303, 0.4498952,-0.7313876, 0.09752072, 0.1278888, -0.6627266,-0.02266175, 0.1252882, 0.5498375,0.7491972, 0.191865, 0.1795749, 0.6079836,-0.096557, 1.023085, 0.1914157,-0.1908599, 0.0716195, 0.002977615, -0.9789966,0, 0, 0,0, 0, 0, 1,-0.2194784, 1.351052, 0.674103,-0.129502, 0.0334663, -0.007818194, -0.9909834,-0.282542, 0.8123153, 0.8285401,-0.4736157, -0.2463936, -0.131002, -0.8353544,-0.2407819, 0.8227707, 0.8095379,0.289774, 0.1239284, -0.0626501, 0.9469677,
