FPS,30,NrOfObjects,7,LFoot,False,RFoot,False,Hip,True,Head,False,HandsPLayer,False
LFootTracker.x,LFootTracker.y,LFootTracker.z,LFootTracker.rx,LFootTracker.ry,LFootTracker.rz,LFootTracker.rw,RFootTracker.x,RFootTracker.y,RFootTracker.z,RFootTracker.rx,RFootTracker.ry,RFootTracker.rz,RFootTracker.rw,HiptrackerBack.x,HiptrackerBack.y,HiptrackerBack.z,HiptrackerBack.rx,HiptrackerBack.ry,HiptrackerBack.rz,HiptrackerBack.rw,ControlerForCalibration.x,ControlerForCalibration.y,ControlerForCalibration.z,ControlerForCalibration.rx,ControlerForCalibration.ry,ControlerForCalibration.rz,ControlerForCalibration.rw,HeadTracker.x,HeadTracker.y,HeadTracker.z,HeadTracker.rx,HeadTracker.ry,HeadTracker.rz,HeadTracker.rw,LeftHandShadow.x,LeftHandShadow.y,LeftHandShadow.z,LeftHandShadow.rx,LeftHandShadow.ry,LeftHandShadow.rz,LeftHandShadow.rw,RightHandShadow.x,RightHandShadow.y,RightHandShadow.z,RightHandShadow.rx,RightHandShadow.ry,RightHandShadow.rz,RightHandShadow.rw,
-0.1971736, 0.1327896, 0.4290828,-0.738849, 0.1524158, 0.07085916, -0.6525725,0.02210346, 0.125487, 0.3873148,0.7542507, 0.1599147, 0.1943543, 0.6064318,-0.009063076, 1.024296, 0.1541017,-0.1914149, 0.1191283, -0.01117394, -0.9741889,0, 0, 0,0, 0, 0, 1,-0.1764931, 1.349716, 0.6207129,-0.1135978, 0.038589, -0.008461718, -0.9927411,-0.4553543, 0.7146812, 0.5853071,-0.6619599, 0.08723333, -0.1793269, -0.7225242,-0.1297047, 0.8405125, 0.8684205,0.3239055, 0.02996528, -0.01926565, 0.9454185,
-0.1972591, 0.1328822, 0.4290868,-0.739059, 0.1522819, 0.07086627, -0.6523652,0.02208406, 0.1257161, 0.3873155,0.7542424, 0.1600351, 0.1945088, 0.6063609,-0.01034842, 1.024105, 0.1539854,-0.1910021, 0.1188875, -0.01071371, -0.9743045,0, 0, 0,0, 0, 0, 1,-0.1768743, 1.349924, 0.6206329,-0.1134952, 0.03766001, -0.008804989, -0.9927855,-0.4543815, 0.7149484, 0.5855576,-0.6626701, 0.08334874, -0.1784056, -0.7225599,-0.1297661, 0.8426018, 0.8684305,0.3239055, 0.02996233, -0.01926464, 0.9454186,
-0.1972706, 0.1328775, 0.4290679,-0.7389618, 0.1522674, 0.07074957, -0.6524913,0.02204606, 0.1257144, 0.3873562,0.7544076, 0.1598965, 0.1943815, 0.6062327,-0.01160686, 1.023834, 0.1538744,-0.1905475, 0.1188557, -0.01006988, -0.9744042,0, 0, 0,0, 0, 0, 1,-0.1770177, 1.349996, 0.6206013,-0.1133353, 0.03689935, -0.008956905, -0.992831,-0.4528851, 0.7151597, 0.5855011,-0.6626697, 0.0833507, -0.1784074, -0.7225597,-0.1294831, 0.8446227, 0.8684218,0.3247722, 0.03005883, -0.01757175, 0.9451512,
-0.1973652, 0.1328806, 0.4289945,-0.73887, 0.1522087, 0.07065099, -0.6526195,0.02204371, 0.1257287, 0.3873981,0.7545754, 0.1600649, 0.1941499, 0.6060536,-0.01263163, 1.023599, 0.1537177,-0.1901696, 0.1183488, -0.009695182, -0.9745436,0, 0, 0,0, 0, 0, 1,-0.1772828, 1.350112, 0.6204383,-0.1130255, 0.03636011, -0.008914658, -0.9928866,-0.4523174, 0.715374, 0.5855221,-0.6633477, 0.07933371, -0.1771446, -0.7227005,-0.1294048, 0.8466085, 0.8682632,0.3247722, 0.0300534, -0.01756988, 0.9451514,
-0.1973619, 0.1328556, 0.4289864,-0.7389028, 0.1522116, 0.07071704, -0.6525745,0.02213025, 0.1261316, 0.3874531,0.7550366, 0.1600364, 0.1939869, 0.6055386,-0.01387283, 1.023309, 0.1536769,-0.189516, 0.1181434, -0.009039799, -0.9747021,0, 0, 0,0, 0, 0, 1,-0.1775276, 1.350352, 0.6202096,-0.1128415, 0.03603663, -0.008595249, -0.9929221,-0.4506762, 0.7158515, 0.5852795,-0.6633455, 0.0793424, -0.1771526, -0.7226995,-0.1292294, 0.8489091, 0.8684252,0.3252276, 0.02963419, -0.01497269, 0.9450527,
-0.1977541, 0.1330699, 0.4288095,-0.738728, 0.1522393, 0.07054698, -0.6527843,0.02210969, 0.1261464, 0.3875023,0.7553031, 0.1599909, 0.1937372, 0.6052983,-0.0151934, 1.023023, 0.1535959,-0.1886679, 0.1183376, -0.008308856, -0.9748495,0, 0, 0,0, 0, 0, 1,-0.1776867, 1.350636, 0.6199138,-0.1126027, 0.03584394, -0.008203452, -0.9929595,-0.4505498, 0.7162035, 0.5852336,-0.663996, 0.07561961, -0.175747, -0.7228445,-0.128939, 0.8510509, 0.868189,0.3254517, 0.02947075, -0.01303631, 0.9450094,
-0.1980446, 0.1331299, 0.4289007,-0.7393776, 0.1517003, 0.06991258, -0.6522425,0.02213126, 0.1262425, 0.38773,0.7558815, 0.1596851, 0.1933345, 0.6047856,-0.01776508, 1.02257, 0.1533046,-0.1881685, 0.11916, -0.007466274, -0.9748527,0, 0, 0,0, 0, 0, 1,-0.1778822, 1.351279, 0.6196476,-0.1127169, 0.03583296, -0.007555688, -0.9929521,-0.4499233, 0.7169671, 0.5850716,-0.6644693, 0.07222961, -0.1741564, -0.7231411,-0.1287744, 0.8550669, 0.8680531,0.3254521, 0.02944289, -0.01302671, 0.9450103,
-0.1980476, 0.1329825, 0.4288002,-0.7391104, 0.1519471, 0.07018514, -0.6524585,0.02206446, 0.1259827, 0.3879,0.7562548, 0.1595199, 0.1930563, 0.6044513,-0.0190426, 1.022217, 0.1529886,-0.1877919, 0.119546, -0.006969776, -0.9748818,0, 0, 0,0, 0, 0, 1,-0.177995, 1.351832, 0.6190319,-0.1127082, 0.03545937, -0.006672379, -0.9929729,-0.4496375, 0.7176299, 0.584735,-0.6646876, 0.06896987, -0.1723187, -0.7236988,-0.1283942, 0.8573269, 0.8672828,0.3257057, 0.02995687, -0.0118183, 0.9449227,
-0.1981168, 0.1329153, 0.4288208,-0.7392163, 0.1519556, 0.07007688, -0.6523483,0.02198214, 0.1260167, 0.3880176,0.7565235, 0.1594997, 0.1930282, 0.6041293,-0.02028682, 1.021829, 0.1528264,-0.1871046, 0.1199411, -0.006327671, -0.9749697,0, 0, 0,0, 0, 0, 1,-0.1783137, 1.352458, 0.6183781,-0.1126045, 0.0348695, -0.005726906, -0.9930114,-0.4488068, 0.7184114, 0.5843481,-0.6646829, 0.06898919, -0.1723365, -0.7236969,-0.1282336, 0.8595576, 0.8664094,0.3255288, 0.03064711, -0.01068719, 0.944975,
-0.1981467, 0.1329809, 0.4287337,-0.73972, 0.1513885, 0.06942517, -0.6519787,0.02193686, 0.1262102, 0.3881863,0.7568649, 0.1595628, 0.1932983, 0.6035984,-0.02153104, 1.021239, 0.1526666,-0.185815, 0.1207436, -0.005535051, -0.9751221,0, 0, 0,0, 0, 0, 1,-0.1785805, 1.353275, 0.6178174,-0.11261, 0.03442927, -0.004927772, -0.9930304,-0.4491074, 0.7193349, 0.5841736,-0.6646125, 0.06636901, -0.1705755, -0.7244235,-0.12806, 0.8619217, 0.8658073,0.325529, 0.03062379, -0.01067916, 0.9449757,
