FPS,30,NrOfObjects,7,LFoot,False,RFoot,False,Hip,True,Head,False,HandsPLayer,False
LFootTracker.x,LFootTracker.y,LFootTracker.z,LFootTracker.rx,LFootTracker.ry,LFootTracker.rz,LFootTracker.rw,RFootTracker.x,RFootTracker.y,RFootTracker.z,RFootTracker.rx,RFootTracker.ry,RFootTracker.rz,RFootTracker.rw,HiptrackerBack.x,HiptrackerBack.y,HiptrackerBack.z,HiptrackerBack.rx,HiptrackerBack.ry,HiptrackerBack.rz,HiptrackerBack.rw,ControlerForCalibration.x,ControlerForCalibration.y,ControlerForCalibration.z,ControlerForCalibration.rx,ControlerForCalibration.ry,ControlerForCalibration.rz,ControlerForCalibration.rw,HeadTracker.x,HeadTracker.y,HeadTracker.z,HeadTracker.rx,HeadTracker.ry,HeadTracker.rz,HeadTracker.rw,LeftHandShadow.x,LeftHandShadow.y,LeftHandShadow.z,LeftHandShadow.rx,LeftHandShadow.ry,LeftHandShadow.rz,LeftHandShadow.rw,RightHandShadow.x,RightHandShadow.y,RightHandShadow.z,RightHandShadow.rx,RightHandShadow.ry,RightHandShadow.rz,RightHandShadow.rw,
-0.228288, 0.141795, 0.4631881,-0.7434115, 0.2681127, -0.06731237, -0.6090354,0.01406782, 0.1247497, 0.5597782,0.7470739, 0.1678242, 0.2089556, 0.6083199,0.1136603, 1.006844, 0.4023525,-0.1376926, 0.4177696, -0.02808095, -0.8976195,0, 0, 0,0, 0, 0, 1,-0.0429991, 1.557582, 0.5549243,-0.1692039, 0.3317346, -0.04894978, -0.9267827,0.01257878, 1.775837, 0.9832748,0.2603605, -0.3936136, -0.1553528, -0.8678401,-0.1384029, 0.9060929, 0.8912725,0.4172628, -0.02129358, -0.03804286, 0.9077396,
-0.2276729, 0.1414362, 0.4634064,-0.7432929, 0.2683614, -0.06708455, -0.6090957,0.01406338, 0.1245481, 0.5597272,0.747113, 0.1677324, 0.2088563, 0.6083313,0.1135946, 1.006896, 0.4010183,-0.13945, 0.4172774, -0.02875268, -0.8975559,0, 0, 0,0, 0, 0, 1,-0.04515184, 1.556702, 0.5556149,-0.1683152, 0.3301038, -0.0443275, -0.9277589,-0.01387614, 1.766085, 1.013897,0.2447597, -0.3692535, -0.1714073, -0.8799796,-0.1383933, 0.90694, 0.8899615,0.4165138, -0.02165445, -0.03724778, 0.9081079,
-0.227661, 0.1414436, 0.4633882,-0.7431931, 0.268496, -0.06696248, -0.6091716,0.01402963, 0.124533, 0.5597029,0.7470614, 0.1677218, 0.2089485, 0.608366,0.1134363, 1.006902, 0.4006997,-0.139707, 0.4176212, -0.02855428, -0.8973624,0, 0, 0,0, 0, 0, 1,-0.04604504, 1.556237, 0.5558646,-0.1685129, 0.3293679, -0.04252006, -0.9280691,-0.02607073, 1.765031, 1.025006,0.2447675, -0.3692135, -0.1713961, -0.8799964,-0.1384898, 0.9072036, 0.8894566,0.4160549, -0.02149925, -0.03682755, 0.908339,
-0.2276119, 0.1413952, 0.4633158,-0.7430452, 0.2686266, -0.06676465, -0.6093163,0.01410285, 0.1246816, 0.5597202,0.7470224, 0.1676361, 0.2087344, 0.6085109,0.1130717, 1.006694, 0.4005913,-0.1398682, 0.4177238, -0.02844343, -0.897293,0, 0, 0,0, 0, 0, 1,-0.04688413, 1.55578, 0.5561526,-0.1689286, 0.3288399, -0.04066482, -0.9282639,-0.03358727, 1.751048, 1.038455,0.2268076, -0.3411725, -0.1851601, -0.8932387,-0.138406, 0.9061713, 0.8896491,0.4160566, -0.02154004, -0.03680887, 0.9083381,
-0.2276263, 0.1414035, 0.4632855,-0.7429725, 0.2686585, -0.06678998, -0.609388,0.01403497, 0.1247085, 0.5597238,0.7470598, 0.1676004, 0.2088203, 0.6084455,0.1128813, 1.006709, 0.4003479,-0.1399572, 0.417794, -0.02835081, -0.8972493,0, 0, 0,0, 0, 0, 1,-0.04768635, 1.555255, 0.5562923,-0.169932, 0.3279859, -0.03920847, -0.9284455,-0.04623638, 1.747777, 1.049794,0.2268151, -0.3411359, -0.1851508, -0.8932527,-0.1384771, 0.9059511, 0.8888596,0.4159006, -0.02090274, -0.03725985, 0.908406,
-0.2275233, 0.1413176, 0.4633518,-0.7429525, 0.2687644, -0.06678237, -0.6093666,0.01405369, 0.1247804, 0.5597373,0.7470341, 0.1675504, 0.208984, 0.6084344,0.1126891, 1.007084, 0.40013,-0.1398915, 0.4176855, -0.02827634, -0.8973125,0, 0, 0,0, 0, 0, 1,-0.04837057, 1.554986, 0.5564156,-0.1715743, 0.3270881, -0.03790909, -0.9285142,-0.05679099, 1.729506, 1.064729,0.2064241, -0.3095004, -0.1949622, -0.9075177,-0.1381893, 0.9042035, 0.8887129,0.4153099, -0.02089479, -0.03706647, 0.9086843,
-0.227531, 0.1413027, 0.4633254,-0.7428953, 0.2688375, -0.06663449, -0.6094203,0.01402662, 0.1248246, 0.559693,0.7469583, 0.1674704, 0.2088346, 0.608601,0.1125273, 1.007133, 0.3998865,-0.139772, 0.4175382, -0.02829584, -0.897399,0, 0, 0,0, 0, 0, 1,-0.04913221, 1.554769, 0.5564246,-0.1740265, 0.3254666, -0.03698339, -0.9286649,-0.05679099, 1.729506, 1.064729,0.2064241, -0.3095004, -0.1949622, -0.9075177,-0.1381893, 0.9042035, 0.8887129,0.4153099, -0.02089479, -0.03706647, 0.9086843,
-0.2272998, 0.141021, 0.46333,-0.7428147, 0.2688025, -0.06685217, -0.60951,0.01396825, 0.1248409, 0.5596671,0.7468883, 0.1674725, 0.208952, 0.6086459,0.1122041, 1.006863, 0.3997557,-0.1396577, 0.4174521, -0.02811807, -0.8974624,0, 0, 0,0, 0, 0, 1,-0.04982441, 1.554627, 0.5564941,-0.176637, 0.3236554, -0.03634011, -0.9288304,-0.08029586, 1.700252, 1.090297,0.1824976, -0.2746288, -0.2014579, -0.9223278,-0.1376533, 0.9021989, 0.8885618,0.4142197, -0.02109707, -0.03666562, 0.9091934,
-0.2272998, 0.141021, 0.46333,-0.7428147, 0.2688025, -0.06685217, -0.60951,0.01396825, 0.1248409, 0.5596671,0.7468883, 0.1674725, 0.208952, 0.6086459,0.1122041, 1.006863, 0.3997557,-0.1396577, 0.4174521, -0.02811807, -0.8974624,0, 0, 0,0, 0, 0, 1,-0.0505765, 1.554473, 0.5565298,-0.1797734, 0.3211634, -0.03603325, -0.9291056,-0.09071, 1.679084, 1.102888,0.1536909, -0.2378069, -0.2060562, -0.9366792,-0.137137, 0.9014438, 0.8887975,0.4142194, -0.02109028, -0.03666872, 0.9091936,
-0.2270206, 0.1408663, 0.4633971,-0.7427876, 0.2689608, -0.06680468, -0.6094784,0.01401521, 0.1249011, 0.5597776,0.7469736, 0.167395, 0.2086997, 0.6086491,0.1119143, 1.006355, 0.3995211,-0.1390232, 0.4164141, -0.02790849, -0.8980495,0, 0, 0,0, 0, 0, 1,-0.05109331, 1.55416, 0.5565954,-0.1829141, 0.3183458, -0.03570856, -0.9294748,-0.1100766, 1.655976, 1.119963,0.153694, -0.237793, -0.2060539, -0.9366827,-0.1355662, 0.9000434, 0.8883596,0.4131269, -0.02125318, -0.03731623, 0.9096603,
-0.2270797, 0.1408887, 0.4635239,-0.7427824, 0.2690315, -0.06681967, -0.6094519,0.01395126, 0.1249061, 0.5599002,0.7471108, 0.1674098, 0.2086901, 0.60848,0.1119537, 1.006474, 0.3992072,-0.138832, 0.4164033, -0.02779292, -0.8980877,0, 0, 0,0, 0, 0, 1,-0.05255266, 1.553526, 0.5564436,-0.1906485, 0.3108795, -0.03576074, -0.9304452,-0.1234231, 1.622669, 1.132342,0.1017828, -0.1816749, -0.2126421, -0.9546821,-0.1347533, 0.8971685, 0.8895841,0.4131236, -0.02117021, -0.03735391, 0.9096623,
