FPS,30,NrOfObjects,7,LFoot,False,RFoot,False,Hip,True,Head,False,HandsPLayer,False
LFootTracker.x,LFootTracker.y,LFootTracker.z,LFootTracker.rx,LFootTracker.ry,LFootTracker.rz,LFootTracker.rw,RFootTracker.x,RFootTracker.y,RFootTracker.z,RFootTracker.rx,RFootTracker.ry,RFootTracker.rz,RFootTracker.rw,HiptrackerBack.x,HiptrackerBack.y,HiptrackerBack.z,HiptrackerBack.rx,HiptrackerBack.ry,HiptrackerBack.rz,HiptrackerBack.rw,ControlerForCalibration.x,ControlerForCalibration.y,ControlerForCalibration.z,ControlerForCalibration.rx,ControlerForCalibration.ry,ControlerForCalibration.rz,ControlerForCalibration.rw,HeadTracker.x,HeadTracker.y,HeadTracker.z,HeadTracker.rx,HeadTracker.ry,HeadTracker.rz,HeadTracker.rw,LeftHandShadow.x,LeftHandShadow.y,LeftHandShadow.z,LeftHandShadow.rx,LeftHandShadow.ry,LeftHandShadow.rz,LeftHandShadow.rw,RightHandShadow.x,RightHandShadow.y,RightHandShadow.z,RightHandShadow.rx,RightHandShadow.ry,RightHandShadow.rz,RightHandShadow.rw,
-0.1181321, 0.1396358, 0.3681456,-0.7393007, 0.1626177, 0.07557721, -0.6490595,0.03019739, 0.1330007, 0.4525059,-0.7418337, -0.07423554, -0.2872137, -0.6013985,0.05477498, 1.023868, 0.1888421,-0.2149933, 0.11664, 0.0253645, -0.9692934,0, 0, 0,0, 0, 0, 1,-0.06265526, 1.343185, 0.6831816,-0.09906177, 0.1368788, 0.009037733, -0.9855807,-0.2228474, 0.8122441, 0.9105813,-0.3768522, -0.4078213, 0.145116, -0.8189051,-0.394677, 1.392256, 0.854485,0.3018286, 0.3587423, -0.1698743, 0.8668023,
-0.1178603, 0.1394855, 0.3682143,-0.7393071, 0.162662, 0.075664, -0.649031,0.03242952, 0.1328581, 0.4482772,-0.7415218, -0.07243399, -0.2895866, -0.6008647,0.05584154, 1.024283, 0.1882894,-0.2154853, 0.1167173, 0.02488708, -0.9691872,0, 0, 0,0, 0, 0, 1,-0.062458, 1.342932, 0.6827888,-0.0990366, 0.1379026, 0.009234949, -0.9854387,-0.2224451, 0.8123173, 0.9108651,-0.374776, -0.4088753, 0.1442049, -0.8194931,-0.3952969, 1.391961, 0.8538967,0.3018735, 0.3583248, -0.1701044, 0.8669142,
-0.1179088, 0.1394613, 0.3681023,-0.7392131, 0.1627306, 0.07585588, -0.6490984,0.03470819, 0.1329912, 0.4448633,-0.7438716, -0.06890639, -0.29266, -0.5968727,0.0569908, 1.024577, 0.1877141,-0.216145, 0.1165425, 0.02443572, -0.9690728,0, 0, 0,0, 0, 0, 1,-0.0622653, 1.342749, 0.6823878,-0.0990709, 0.1390479, 0.009311871, -0.9852735,-0.2220136, 0.8124101, 0.9111114,-0.3747869, -0.4088131, 0.1441764, -0.8195241,-0.3956372, 1.391737, 0.8532317,0.3018864, 0.358259, -0.1700814, 0.8669415,
-0.1179944, 0.1395529, 0.3680137,-0.7388319, 0.1628915, 0.07596956, -0.6494787,0.03695093, 0.1333709, 0.4404275,-0.7433011, -0.06709374, -0.2913449, -0.5984313,0.0580673, 1.025088, 0.1870918,-0.2168309, 0.1161529, 0.0238131, -0.9689819,0, 0, 0,0, 0, 0, 1,-0.06204947, 1.342568, 0.6820383,-0.09895576, 0.1398449, 0.009406675, -0.9851714,-0.2215029, 0.8124498, 0.9113683,-0.3727745, -0.4097171, 0.1432803, -0.8201475,-0.3958654, 1.3916, 0.8526414,0.3018982, 0.3581991, -0.1700606, 0.8669662,
-0.1180027, 0.1395491, 0.3680404,-0.7390701, 0.1627608, 0.07602845, -0.6492335,0.03985283, 0.133709, 0.4376934,-0.7454982, -0.0609419, -0.2930939, -0.5954952,0.05918794, 1.025453, 0.1865922,-0.2173288, 0.1163007, 0.02334002, -0.9688641,0, 0, 0,0, 0, 0, 1,-0.06182097, 1.342444, 0.6817305,-0.09913379, 0.1406762, 0.00952177, -0.985034,-0.2203643, 0.8129218, 0.9122902,-0.3707121, -0.4110156, 0.1417049, -0.8207061,-0.3961033, 1.391586, 0.852384,0.3017262, 0.3578774, -0.1701289, 0.8671455,
-0.1177345, 0.1394248, 0.368146,-0.7388977, 0.1629093, 0.07607375, -0.6493871,0.04230833, 0.1339895, 0.4339295,-0.7458718, -0.05733333, -0.2927448, -0.5955573,0.06023422, 1.025852, 0.1861249,-0.2178991, 0.1168181, 0.02306741, -0.9686803,0, 0, 0,0, 0, 0, 1,-0.06148419, 1.342348, 0.6813659,-0.09945113, 0.1414898, 0.009476018, -0.9848859,-0.219754, 0.8128859, 0.9123858,-0.3707205, -0.410967, 0.141683, -0.8207304,-0.3962386, 1.391531, 0.8520945,0.3013579, 0.3576451, -0.1703041, 0.867335,
-0.1177394, 0.1393913, 0.3680834,-0.7386435, 0.1630968, 0.07622556, -0.6496115,0.04441613, 0.1343084, 0.4308277,-0.7436847, -0.05384767, -0.2941294, -0.5979309,0.0613009, 1.026226, 0.1857222,-0.2182912, 0.1175628, 0.02305449, -0.9685022,0, 0, 0,0, 0, 0, 1,-0.06101502, 1.342354, 0.680945,-0.1001784, 0.1422655, 0.009272814, -0.9847024,-0.2186267, 0.8131571, 0.912904,-0.3686616, -0.4125056, 0.1420076, -0.8208299,-0.3961641, 1.391351, 0.8515669,0.3013672, 0.3575975, -0.1702876, 0.8673546,
-0.1175621, 0.1392376, 0.3681972,-0.7387395, 0.1629283, 0.07614762, -0.6495538,0.04633763, 0.1345027, 0.4280923,-0.7428927, -0.04962666, -0.29942, -0.5966535,0.06232401, 1.02654, 0.1852418,-0.2185958, 0.1181805, 0.02294922, -0.9683608,0, 0, 0,0, 0, 0, 1,-0.06063133, 1.342347, 0.6804823,-0.1006791, 0.1429758, 0.008987372, -0.9845511,-0.2181071, 0.8128774, 0.912505,-0.3686687, -0.4124646, 0.1419892, -0.8208504,-0.3963864, 1.391111, 0.8511304,0.3014651, 0.3571022, -0.1700229, 0.8675765,
-0.1175764, 0.1392488, 0.3682066,-0.7387038, 0.1628387, 0.07602744, -0.6496309,0.04806598, 0.134887, 0.425353,-0.741577, -0.04643664, -0.2996889, -0.5984092,0.06339897, 1.026905, 0.1847444,-0.2190976, 0.1184568, 0.02291218, -0.9682145,0, 0, 0,0, 0, 0, 1,-0.06009392, 1.342413, 0.6800922,-0.1011679, 0.1438712, 0.008622759, -0.9843738,-0.2163704, 0.8138764, 0.9136339,-0.3657924, -0.4143228, 0.1432744, -0.820978,-0.3963456, 1.390942, 0.8506066,0.3014737, 0.3570583, -0.1700077, 0.8675946,
-0.1181354, 0.1394807, 0.3679912,-0.7385614, 0.1627737, 0.07596599, -0.6498162,0.04947767, 0.135228, 0.4228784,-0.7403045, -0.0428602, -0.3043102, -0.5979193,0.06440522, 1.027199, 0.1841461,-0.219741, 0.1189566, 0.02269162, -0.9680126,0, 0, 0,0, 0, 0, 1,-0.05946995, 1.342412, 0.6798243,-0.1014043, 0.1448422, 0.008314028, -0.9842098,-0.213929, 0.8152732, 0.9147984,-0.362186, -0.4169134, 0.1443129, -0.8210837,-0.3965141, 1.390752, 0.8503348,0.3015605, 0.3564497, -0.1698734, 0.867841,
