FPS,30,NrOfObjects,7,LFoot,False,RFoot,False,Hip,True,Head,False,HandsPLayer,False
LFootTracker.x,LFootTracker.y,LFootTracker.z,LFootTracker.rx,LFootTracker.ry,LFootTracker.rz,LFootTracker.rw,RFootTracker.x,RFootTracker.y,RFootTracker.z,RFootTracker.rx,RFootTracker.ry,RFootTracker.rz,RFootTracker.rw,HiptrackerBack.x,HiptrackerBack.y,HiptrackerBack.z,HiptrackerBack.rx,HiptrackerBack.ry,HiptrackerBack.rz,HiptrackerBack.rw,ControlerForCalibration.x,ControlerForCalibration.y,ControlerForCalibration.z,ControlerForCalibration.rx,ControlerForCalibration.ry,ControlerForCalibration.rz,ControlerForCalibration.rw,HeadTracker.x,HeadTracker.y,HeadTracker.z,HeadTracker.rx,HeadTracker.ry,HeadTracker.rz,HeadTracker.rw,LeftHandShadow.x,LeftHandShadow.y,LeftHandShadow.z,LeftHandShadow.rx,LeftHandShadow.ry,LeftHandShadow.rz,LeftHandShadow.rw,RightHandShadow.x,RightHandShadow.y,RightHandShadow.z,RightHandShadow.rx,RightHandShadow.ry,RightHandShadow.rz,RightHandShadow.rw,
-0.1824, 0.03779616, 0.1573692,-0.7071068, 0, 0, -0.7071068,0.04033873, 0.08322266, 0.7171693,0.8631145, 0.03719051, -0.04071519, 0.5019888,-0.04010442, 0.561502, 0.3436777,0.1625659, 0.09195931, 0.04982278, -0.9811389,0, 0, 0,0, 0, 0, 1,-0.6542527, 0.6716917, 0.7927353,0.3684764, 0.6271011, 0.3453374, -0.5930526,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.1824, 0.03779616, 0.1573692,-0.7071068, 0, 0, -0.7071068,0.03961756, 0.08378258, 0.7168428,0.8631068, 0.03725575, -0.04053658, 0.5020114,-0.04014874, 0.5614929, 0.343677,0.162302, 0.09205146, 0.04972849, -0.9811788,0, 0, 0,0, 0, 0, 1,-0.6542581, 0.671699, 0.7927787,0.3684812, 0.6272143, 0.345311, -0.5929454,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.1824, 0.03779616, 0.1573692,-0.7071068, 0, 0, -0.7071068,0.03895292, 0.08424257, 0.7166597,0.8631291, 0.03738209, -0.04062382, 0.5019568,-0.04022206, 0.5615101, 0.3436809,0.1621602, 0.09211958, 0.04963551, -0.9812005,0, 0, 0,0, 0, 0, 1,-0.6542833, 0.6717341, 0.7927788,0.3684716, 0.6272017, 0.345332, -0.5929524,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.1824, 0.03779616, 0.1573692,-0.7071068, 0, 0, -0.7071068,0.03895281, 0.08425032, 0.7166769,0.8631034, 0.03742206, -0.04055393, 0.5020034,-0.04022669, 0.5614774, 0.3436686,0.1620547, 0.09219113, 0.04960503, -0.9812127,0, 0, 0,0, 0, 0, 1,-0.6542501, 0.6717407, 0.7927671,0.368379, 0.6271921, 0.3453065, -0.593035,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.1824, 0.03779616, 0.1573692,-0.7071068, 0, 0, -0.7071068,0.03835784, 0.0847104, 0.7164921,0.8631173, 0.03732818, -0.04035853, 0.5020025,-0.04019675, 0.5614502, 0.3437101,0.1621711, 0.09207112, 0.04957949, -0.9812061,0, 0, 0,0, 0, 0, 1,-0.6542856, 0.6717618, 0.7928277,0.3684227, 0.6271897, 0.3452829, -0.5930241,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.1824, 0.03779616, 0.1573692,-0.7071068, 0, 0, -0.7071068,0.03837216, 0.08471072, 0.7164979,0.8631419, 0.03742421, -0.04035452, 0.5019534,-0.04021241, 0.5614357, 0.3437215,0.1622965, 0.0921972, 0.04960097, -0.9811724,0, 0, 0,0, 0, 0, 1,-0.6542867, 0.6717895, 0.792829,0.3684013, 0.6271657, 0.3452807, -0.593064,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.1824, 0.03779616, 0.1573692,-0.7071068, 0, 0, -0.7071068,0.03800242, 0.08493221, 0.7164237,0.8631785, 0.03742741, -0.04031941, 0.5018929,-0.04013916, 0.5614191, 0.3437371,0.1625173, 0.09226909, 0.04956701, -0.9811308,0, 0, 0,0, 0, 0, 1,-0.65433, 0.671798, 0.7927976,0.3684181, 0.6270489, 0.345388, -0.5931147,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.1824, 0.03779616, 0.1573692,-0.7071068, 0, 0, -0.7071068,0.03799624, 0.08494662, 0.7164301,0.8632008, 0.0373477, -0.04028649, 0.501863,-0.0401197, 0.5613807, 0.3436941,0.1625632, 0.09228758, 0.04952385, -0.9811236,0, 0, 0,0, 0, 0, 1,-0.6542936, 0.6717543, 0.7928402,0.3684366, 0.6270882, 0.3451968, -0.5931728,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.1824, 0.03779616, 0.1573692,-0.7071068, 0, 0, -0.7071068,0.03754724, 0.08524941, 0.7163306,0.8631595, 0.03738536, -0.04018598, 0.5019397,-0.04011911, 0.5613888, 0.3436795,0.1624802, 0.09234504, 0.04948593, -0.9811339,0, 0, 0,0, 0, 0, 1,-0.6543391, 0.6717496, 0.7928169,0.3684921, 0.6270293, 0.3452589, -0.5931646,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.1824, 0.03779616, 0.1573692,-0.7071068, 0, 0, -0.7071068,0.03722868, 0.08545317, 0.716142,0.8631756, 0.03739541, -0.04020221, 0.5019098,-0.04008798, 0.5613489, 0.3435993,0.162309, 0.0923986, 0.04946153, -0.9811584,0, 0, 0,0, 0, 0, 1,-0.6544068, 0.6717217, 0.7928603,0.3685157, 0.6270937, 0.3452539, -0.5930846,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
