FPS,30,NrOfObjects,7,LFoot,False,RFoot,False,Hip,True,Head,False,HandsPLayer,False
LFootTracker.x,LFootTracker.y,LFootTracker.z,LFootTracker.rx,LFootTracker.ry,LFootTracker.rz,LFootTracker.rw,RFootTracker.x,RFootTracker.y,RFootTracker.z,RFootTracker.rx,RFootTracker.ry,RFootTracker.rz,RFootTracker.rw,HiptrackerBack.x,HiptrackerBack.y,HiptrackerBack.z,HiptrackerBack.rx,HiptrackerBack.ry,HiptrackerBack.rz,HiptrackerBack.rw,ControlerForCalibration.x,ControlerForCalibration.y,ControlerForCalibration.z,ControlerForCalibration.rx,ControlerForCalibration.ry,ControlerForCalibration.rz,ControlerForCalibration.rw,HeadTracker.x,HeadTracker.y,HeadTracker.z,HeadTracker.rx,HeadTracker.ry,HeadTracker.rz,HeadTracker.rw,LeftHandShadow.x,LeftHandShadow.y,LeftHandShadow.z,LeftHandShadow.rx,LeftHandShadow.ry,LeftHandShadow.rz,LeftHandShadow.rw,RightHandShadow.x,RightHandShadow.y,RightHandShadow.z,RightHandShadow.rx,RightHandShadow.ry,RightHandShadow.rz,RightHandShadow.rw,
-0.6812755, -0.02276739, 0.3354957,-0.7395301, 0.09369075, 0.6663792, 0.01601116,-1.961436, -3.101519, 0.3109849,-0.7213629, -0.08563003, 0.6744975, 0.131743,-0.376485, 0.5706925, 0.2433067,-0.04935376, 0.6699409, 0.01513604, 0.7406176,0, 0, 0,0, 0, 0, 1,-0.5217566, 0.7211204, 0.8769648,0.01519602, 0.8501798, 0.02850695, -0.5255006,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.6792841, -0.02444444, 0.3362424,-0.7394099, 0.09331962, 0.6665545, 0.01641923,-1.961436, -3.101519, 0.3109849,-0.7213629, -0.08563003, 0.6744975, 0.131743,-0.3767186, 0.5707368, 0.2432218,-0.04944579, 0.6698369, 0.01496569, 0.7407089,0, 0, 0,0, 0, 0, 1,-0.5217903, 0.721102, 0.8769673,0.01518207, 0.8501545, 0.02859673, -0.525537,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.6792841, -0.02444444, 0.3362424,-0.7394099, 0.09331962, 0.6665545, 0.01641923,-1.961436, -3.101519, 0.3109849,-0.7213629, -0.08563003, 0.6744975, 0.131743,-0.3767186, 0.5707368, 0.2432218,-0.04944579, 0.6698369, 0.01496569, 0.7407089,0, 0, 0,0, 0, 0, 1,-0.5217842, 0.7211159, 0.877014,0.01511621, 0.8501865, 0.02858349, -0.525488,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.6789976, -0.02468707, 0.3363379,-0.7396331, 0.09367317, 0.6662556, 0.01648337,-1.961436, -3.101519, 0.3109849,-0.7213629, -0.08563003, 0.6744975, 0.131743,-0.3766961, 0.5706809, 0.2433106,-0.04960987, 0.6698588, 0.01501899, 0.7406771,0, 0, 0,0, 0, 0, 1,-0.5217314, 0.7211564, 0.8769439,0.01513244, 0.8501055, 0.02850944, -0.5256225,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.6786593, -0.02490476, 0.3364588,-0.7398933, 0.09379268, 0.6659527, 0.01636609,-1.961436, -3.101519, 0.3109849,-0.7213629, -0.08563003, 0.6744975, 0.131743,-0.376781, 0.5706782, 0.2432939,-0.04964129, 0.6701373, 0.01523215, 0.7404187,0, 0, 0,0, 0, 0, 1,-0.5217755, 0.7211213, 0.8769699,0.01507409, 0.8501375, 0.02854244, -0.5255706,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.6766748, -0.02667432, 0.3373812,-0.7397156, 0.09421012, 0.6661049, 0.01579797,-1.961436, -3.101519, 0.3109849,-0.7213629, -0.08563003, 0.6744975, 0.131743,-0.3771779, 0.57081, 0.2432166,-0.05006338, 0.6702442, 0.01564894, 0.7402848,0, 0, 0,0, 0, 0, 1,-0.5217839, 0.7210637, 0.8769384,0.01516991, 0.8501, 0.02853573, -0.5256289,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.6752782, -0.02786023, 0.3379692,-0.7396064, 0.09453148, 0.6661831, 0.01569374,-1.961436, -3.101519, 0.3109849,-0.7213629, -0.08563003, 0.6744975, 0.131743,-0.3771587, 0.5708001, 0.2432432,-0.05004623, 0.6701815, 0.01544732, 0.7403469,0, 0, 0,0, 0, 0, 1,-0.5217367, 0.7210833, 0.8769252,0.01505717, 0.8501256, 0.02855136, -0.5255898,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.6749436, -0.0281198, 0.3380605,-0.739774, 0.09491731, 0.6659454, 0.01555009,-1.961436, -3.101519, 0.3109849,-0.7213629, -0.08563003, 0.6744975, 0.131743,-0.377339, 0.5707385, 0.2432495,-0.04960839, 0.6702024, 0.01498913, 0.7403668,0, 0, 0,0, 0, 0, 1,-0.5217581, 0.7210634, 0.8768965,0.01511281, 0.8501336, 0.02852741, -0.5255765,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.6745753, -0.02837639, 0.3381705,-0.7395588, 0.09484376, 0.6662034, 0.01518694,-1.961436, -3.101519, 0.3109849,-0.7213629, -0.08563003, 0.6744975, 0.131743,-0.3775098, 0.5707297, 0.2432189,-0.04917573, 0.6702625, 0.01467785, 0.7403475,0, 0, 0,0, 0, 0, 1,-0.5217218, 0.7210584, 0.876875,0.01509614, 0.8501195, 0.02856664, -0.5255978,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.6742224, -0.02864511, 0.3382976,-0.7395276, 0.09494808, 0.6662302, 0.01487517,-1.961436, -3.101519, 0.3109849,-0.7213629, -0.08563003, 0.6744975, 0.131743,-0.3779777, 0.5708926, 0.2430809,-0.04903137, 0.6704319, 0.01453367, 0.7402065,0, 0, 0,0, 0, 0, 1,-0.5217476, 0.7210974, 0.8768882,0.01518363, 0.8501411, 0.02845638, -0.5255662,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.6739121, -0.02892591, 0.3384022,-0.7399306, 0.09538224, 0.6657272, 0.01457278,-1.961436, -3.101519, 0.3109849,-0.7213629, -0.08563003, 0.6744975, 0.131743,-0.3781257, 0.5709174, 0.2430101,-0.049038, 0.6705627, 0.01460648, 0.7400861,0, 0, 0,0, 0, 0, 1,-0.521687, 0.721072, 0.8768662,0.01508999, 0.8501062, 0.02851358, -0.5256224,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.6736123, -0.02920269, 0.3384867,-0.7397783, 0.09546489, 0.6658827, 0.0146551,-1.961436, -3.101519, 0.3109849,-0.7213629, -0.08563003, 0.6744975, 0.131743,-0.3784907, 0.5710211, 0.2429543,-0.04928598, 0.670275, 0.01463082, 0.7403298,0, 0, 0,0, 0, 0, 1,-0.5216358, 0.7210686, 0.8768876,0.0150367, 0.8501261, 0.02855247, -0.5255895,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.6732812, -0.02947951, 0.3385758,-0.7396681, 0.09554297, 0.665989, 0.01488106,-1.961436, -3.101519, 0.3109849,-0.7213629, -0.08563003, 0.6744975, 0.131743,-0.3785936, 0.5710046, 0.242888,-0.04946899, 0.6701666, 0.01473794, 0.7404137,0, 0, 0,0, 0, 0, 1,-0.5216413, 0.7210749, 0.8769775,0.01511617, 0.8501762, 0.02851385, -0.5255082,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.6729292, -0.02974577, 0.3387196,-0.7398158, 0.09548582, 0.6658406, 0.01453739,-1.961436, -3.101519, 0.3109849,-0.7213629, -0.08563003, 0.6744975, 0.131743,-0.3786253, 0.5709469, 0.2428387,-0.04952446, 0.6698063, 0.0147215, 0.7407362,0, 0, 0,0, 0, 0, 1,-0.5215899, 0.7210837, 0.8769955,0.01512785, 0.8501554, 0.02849051, -0.5255429,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.6729292, -0.02974577, 0.3387196,-0.7398158, 0.09548582, 0.6658406, 0.01453739,-1.961436, -3.101519, 0.3109849,-0.7213629, -0.08563003, 0.6744975, 0.131743,-0.3786253, 0.5709469, 0.2428387,-0.04952446, 0.6698063, 0.0147215, 0.7407362,0, 0, 0,0, 0, 0, 1,-0.5215513, 0.7210373, 0.8769671,0.01510816, 0.8501303, 0.02851126, -0.525583,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.6722918, -0.0302726, 0.3389781,-0.7405121, 0.09590758, 0.6650053, 0.0145449,-1.961436, -3.101519, 0.3109849,-0.7213629, -0.08563003, 0.6744975, 0.131743,-0.3787332, 0.5710914, 0.2425982,-0.04952756, 0.6695689, 0.01502872, 0.7409444,0, 0, 0,0, 0, 0, 1,-0.5214868, 0.7211046, 0.8769713,0.01508434, 0.8500628, 0.02853822, -0.5256912,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.6720027, -0.03058632, 0.3391079,-0.7407337, 0.09582308, 0.6647797, 0.01412886,-1.961436, -3.101519, 0.3109849,-0.7213629, -0.08563003, 0.6744975, 0.131743,-0.3788049, 0.5711448, 0.2424526,-0.04936854, 0.6693756, 0.01500062, 0.7411302,0, 0, 0,0, 0, 0, 1,-0.5215851, 0.7211338, 0.8769125,0.01512269, 0.8500863, 0.02852805, -0.5256527,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
