FPS,30,NrOfObjects,7,LFoot,False,RFoot,False,Hip,True,Head,False,HandsPLayer,False
LFootTracker.x,LFootTracker.y,LFootTracker.z,LFootTracker.rx,LFootTracker.ry,LFootTracker.rz,LFootTracker.rw,RFootTracker.x,RFootTracker.y,RFootTracker.z,RFootTracker.rx,RFootTracker.ry,RFootTracker.rz,RFootTracker.rw,HiptrackerBack.x,HiptrackerBack.y,HiptrackerBack.z,HiptrackerBack.rx,HiptrackerBack.ry,HiptrackerBack.rz,HiptrackerBack.rw,ControlerForCalibration.x,ControlerForCalibration.y,ControlerForCalibration.z,ControlerForCalibration.rx,ControlerForCalibration.ry,ControlerForCalibration.rz,ControlerForCalibration.rw,HeadTracker.x,HeadTracker.y,HeadTracker.z,HeadTracker.rx,HeadTracker.ry,HeadTracker.rz,HeadTracker.rw,LeftHandShadow.x,LeftHandShadow.y,LeftHandShadow.z,LeftHandShadow.rx,LeftHandShadow.ry,LeftHandShadow.rz,LeftHandShadow.rw,RightHandShadow.x,RightHandShadow.y,RightHandShadow.z,RightHandShadow.rx,RightHandShadow.ry,RightHandShadow.rz,RightHandShadow.rw,
-0.4212234, 0.07748032, 0.4945002,-0.6419259, 0.3477592, -0.2285811, -0.6440073,-0.008412293, 0.2246903, 0.6534861,0.7111334, 0.01613547, 0.03671742, 0.7019124,-0.01832159, 0.6400553, 0.09650855,-0.1342387, 0.09307148, 0.05969913, -0.9847608,0, 0, 0,0, 0, 0, 1,-0.5213545, 0.7213255, 0.8766957,0.01527256, 0.8490158, 0.02919487, -0.5273392,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.4219733, 0.07809439, 0.4941951,-0.6419284, 0.3477514, -0.2285974, -0.6440033,-0.01051247, 0.2159806, 0.6551,0.7114506, 0.01703576, 0.03638184, 0.7015869,-0.01842653, 0.6400234, 0.09654411,-0.1342023, 0.09309076, 0.05957256, -0.9847715,0, 0, 0,0, 0, 0, 1,-0.5213645, 0.7213045, 0.876713,0.01534513, 0.8490411, 0.02919602, -0.5272964,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.4212737, 0.07742055, 0.4945187,-0.6419411, 0.3477193, -0.2286162, -0.6440013,-0.01065878, 0.2157057, 0.6554637,0.7113886, 0.01721509, 0.03623857, 0.7016528,-0.01851488, 0.6400284, 0.09647568,-0.1340245, 0.09313285, 0.05933772, -0.9848059,0, 0, 0,0, 0, 0, 1,-0.5213326, 0.7213323, 0.8766995,0.0152458, 0.8490173, 0.02915845, -0.5273396,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.422014, 0.07801516, 0.4942113,-0.6419471, 0.3477032, -0.2285996, -0.6440098,-0.01070267, 0.2155575, 0.6554804,0.711307, 0.0171555, 0.03631035, 0.7017333,-0.01850198, 0.639961, 0.09645408,-0.1339542, 0.09325181, 0.05916722, -0.9848145,0, 0, 0,0, 0, 0, 1,-0.5213403, 0.7213333, 0.8767254,0.0152353, 0.8490417, 0.02916376, -0.5273004,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.4214135, 0.07753572, 0.4944934,-0.6419522, 0.347806, -0.228644, -0.6439335,-0.01073938, 0.2153978, 0.6555056,0.7111977, 0.01711844, 0.03642206, 0.7018392,-0.01862142, 0.6400162, 0.0964857,-0.1337987, 0.09335259, 0.05900354, -0.9848359,0, 0, 0,0, 0, 0, 1,-0.5213119, 0.7213607, 0.8767321,0.01521525, 0.84901, 0.02908741, -0.5273562,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.420454, 0.07676423, 0.4949284,-0.6419938, 0.3478968, -0.2286412, -0.643844,-0.01075408, 0.215747, 0.6561455,0.7113494, 0.01710218, 0.03588777, 0.7017133,-0.01870586, 0.6399713, 0.09654522,-0.1337985, 0.09335586, 0.05887245, -0.9848435,0, 0, 0,0, 0, 0, 1,-0.5213305, 0.7213454, 0.8767322,0.01525804, 0.848996, 0.02913372, -0.527375,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.4208036, 0.07706598, 0.4946702,-0.6420235, 0.3477985, -0.2287111, -0.6438426,-0.01074941, 0.2156869, 0.6563601,0.7112197, 0.01700979, 0.03597683, 0.7018425,-0.01881321, 0.6398492, 0.09652413,-0.1340419, 0.09372353, 0.05867038, -0.9847875,0, 0, 0,0, 0, 0, 1,-0.5213242, 0.7213049, 0.876717,0.01533553, 0.8490095, 0.02916134, -0.5273494,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.4214994, 0.07763398, 0.494375,-0.6420127, 0.3477634, -0.2287542, -0.6438571,-0.01080719, 0.2155948, 0.6564419,0.711133, 0.0169209, 0.03604768, 0.7019289,-0.01887846, 0.6398332, 0.09652295,-0.1340022, 0.09374094, 0.05857442, -0.984797,0, 0, 0,0, 0, 0, 1,-0.521305, 0.7213086, 0.8767089,0.01531034, 0.8490357, 0.02915406, -0.5273083,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.4206816, 0.07707295, 0.4946221,-0.6419785, 0.3478231, -0.2287156, -0.6438726,-0.01071458, 0.2154167, 0.6563349,0.711095, 0.01695079, 0.03575882, 0.7019814,-0.01893065, 0.6399684, 0.096412,-0.1338387, 0.0937678, 0.05832918, -0.9848312,0, 0, 0,0, 0, 0, 1,-0.521338, 0.721298, 0.876711,0.01536315, 0.84904, 0.02918976, -0.527298,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.4213696, 0.0776385, 0.494325,-0.6419387, 0.3478663, -0.2287465, -0.643878,-0.01064714, 0.2154038, 0.6563063,0.7110612, 0.01682931, 0.03585774, 0.7020135,-0.01897887, 0.6399731, 0.09639062,-0.1337339, 0.09389897, 0.05814008, -0.9848441,0, 0, 0,0, 0, 0, 1,-0.5213119, 0.7213255, 0.8766725,0.01541517, 0.8490226, 0.02915046, -0.5273267,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
