FPS,30,NrOfObjects,7,LFoot,False,RFoot,False,Hip,True,Head,False,HandsPLayer,False
LFootTracker.x,LFootTracker.y,LFootTracker.z,LFootTracker.rx,LFootTracker.ry,LFootTracker.rz,LFootTracker.rw,RFootTracker.x,RFootTracker.y,RFootTracker.z,RFootTracker.rx,RFootTracker.ry,RFootTracker.rz,RFootTracker.rw,HiptrackerBack.x,HiptrackerBack.y,HiptrackerBack.z,HiptrackerBack.rx,HiptrackerBack.ry,HiptrackerBack.rz,HiptrackerBack.rw,ControlerForCalibration.x,ControlerForCalibration.y,ControlerForCalibration.z,ControlerForCalibration.rx,ControlerForCalibration.ry,ControlerForCalibration.rz,ControlerForCalibration.rw,HeadTracker.x,HeadTracker.y,HeadTracker.z,HeadTracker.rx,HeadTracker.ry,HeadTracker.rz,HeadTracker.rw,LeftHandShadow.x,LeftHandShadow.y,LeftHandShadow.z,LeftHandShadow.rx,LeftHandShadow.ry,LeftHandShadow.rz,LeftHandShadow.rw,RightHandShadow.x,RightHandShadow.y,RightHandShadow.z,RightHandShadow.rx,RightHandShadow.ry,RightHandShadow.rz,RightHandShadow.rw,
-0.6333869, 0.03532801, -0.03034429,-0.4175498, 0.6241559, -0.5399019, -0.3802468,-0.623363, 0.05274061, 0.3418849,-0.5379883, 0.4314269, -0.468248, -0.552434,-0.01073353, 0.5862091, 0.1272292,-0.007889133, 0.6212084, 0.1981658, -0.7581347,0, 0, 0,0, 0, 0, 1,-0.5214374, 0.7213947, 0.8765932,0.01569828, 0.8489568, 0.02950339, -0.5274045,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.633687, 0.03552482, -0.03051058,-0.4175318, 0.6240612, -0.5400187, -0.3802561,-0.6244937, 0.05359847, 0.3413621,-0.5380207, 0.431467, -0.4681393, -0.5524632,-0.01077531, 0.5861201, 0.1271238,-0.007828933, 0.6213669, 0.1979192, -0.7580699,0, 0, 0,0, 0, 0, 1,-0.5214266, 0.7214097, 0.8765932,0.01568435, 0.8489791, 0.02947526, -0.5273706,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.6342858, 0.0360017, -0.03079172,-0.4175433, 0.6240556, -0.5400193, -0.3802517,-0.6254106, 0.05430196, 0.3408893,-0.5380787, 0.4314165, -0.4682003, -0.5523946,-0.01087552, 0.5863801, 0.1273374,-0.007592194, 0.6217617, 0.1980241, -0.7577211,0, 0, 0,0, 0, 0, 1,-0.5213657, 0.7215106, 0.8765469,0.0156556, 0.8490089, 0.02940101, -0.5273277,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.6351537, 0.0367795, -0.03091059,-0.4176045, 0.6239308, -0.5400645, -0.3803253,-0.6263624, 0.05521158, 0.3405243,-0.538054, 0.4314918, -0.468016, -0.5525159,-0.01099224, 0.5863259, 0.1273456,-0.007301295, 0.6218536, 0.1981863, -0.7576061,0, 0, 0,0, 0, 0, 1,-0.5212238, 0.7214376, 0.8765478,0.01566094, 0.8489393, 0.02949035, -0.5274346,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.6347132, 0.03621729, -0.03086207,-0.4176194, 0.6239718, -0.5400928, -0.3802015,-0.6262825, 0.05497893, 0.340635,-0.538098, 0.4314486, -0.4680455, -0.5524818,-0.01108478, 0.586702, 0.1273992,-0.006992722, 0.622046, 0.1982813, -0.7574262,0, 0, 0,0, 0, 0, 1,-0.5213149, 0.7214265, 0.8765382,0.01579623, 0.8489335, 0.0296524, -0.5274307,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.6356466, 0.03702508, -0.03103112,-0.4176561, 0.6239223, -0.5401117, -0.3802153,-0.6273472, 0.0559564, 0.3401644,-0.5381081, 0.4313815, -0.4680066, -0.5525575,-0.01117892, 0.5866578, 0.1274379,-0.006643586, 0.622165, 0.198349, -0.7573138,0, 0, 0,0, 0, 0, 1,-0.5213066, 0.7214666, 0.8765886,0.01577391, 0.8489783, 0.02952717, -0.5273663,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.635201, 0.03647137, -0.03096114,-0.4175956, 0.6238979, -0.5401534, -0.3802627,-0.6272759, 0.05573333, 0.3402627,-0.5382066, 0.4314873, -0.4678989, -0.55247,-0.01096671, 0.5867867, 0.1275176,-0.006446076, 0.622386, 0.1984141, -0.7571169,0, 0, 0,0, 0, 0, 1,-0.5212203, 0.7214798, 0.8766169,0.01571591, 0.848972, 0.02944591, -0.5273829,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.635201, 0.03647137, -0.03096114,-0.4175956, 0.6238979, -0.5401534, -0.3802627,-0.6272759, 0.05573333, 0.3402627,-0.5382066, 0.4314873, -0.4678989, -0.55247,-0.01096671, 0.5867867, 0.1275176,-0.006446076, 0.622386, 0.1984141, -0.7571169,0, 0, 0,0, 0, 0, 1,-0.5212092, 0.7214562, 0.8765997,0.01573889, 0.8489789, 0.02945362, -0.5273705,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.6359069, 0.03722033, -0.0312422,-0.4175844, 0.62397, -0.5400546, -0.3802969,-0.6276862, 0.05603727, 0.3400311,-0.5381706, 0.4315177, -0.4678284, -0.552541,-0.01094066, 0.5866942, 0.1275258,-0.006509622, 0.6226766, 0.1981196, -0.7569546,0, 0, 0,0, 0, 0, 1,-0.5212777, 0.7214856, 0.8765492,0.01575653, 0.8489645, 0.02946245, -0.5273927,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.6354856, 0.03668121, -0.03119054,-0.4175708, 0.623961, -0.540067, -0.380309,-0.6276237, 0.05580926, 0.3401244,-0.5382399, 0.4314999, -0.4678495, -0.5524694,-0.01097441, 0.586965, 0.1273797,-0.006581617, 0.6229502, 0.1980262, -0.7567532,0, 0, 0,0, 0, 0, 1,-0.5212469, 0.7214976, 0.8764985,0.01573865, 0.8489643, 0.02952236, -0.5273902,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
