FPS,30,NrOfObjects,7,LFoot,False,RFoot,False,Hip,True,Head,False,HandsPLayer,False
LFootTracker.x,LFootTracker.y,LFootTracker.z,LFootTracker.rx,LFootTracker.ry,LFootTracker.rz,LFootTracker.rw,RFootTracker.x,RFootTracker.y,RFootTracker.z,RFootTracker.rx,RFootTracker.ry,RFootTracker.rz,RFootTracker.rw,HiptrackerBack.x,HiptrackerBack.y,HiptrackerBack.z,HiptrackerBack.rx,HiptrackerBack.ry,HiptrackerBack.rz,HiptrackerBack.rw,ControlerForCalibration.x,ControlerForCalibration.y,ControlerForCalibration.z,ControlerForCalibration.rx,ControlerForCalibration.ry,ControlerForCalibration.rz,ControlerForCalibration.rw,HeadTracker.x,HeadTracker.y,HeadTracker.z,HeadTracker.rx,HeadTracker.ry,HeadTracker.rz,HeadTracker.rw,LeftHandShadow.x,LeftHandShadow.y,LeftHandShadow.z,LeftHandShadow.rx,LeftHandShadow.ry,LeftHandShadow.rz,LeftHandShadow.rw,RightHandShadow.x,RightHandShadow.y,RightHandShadow.z,RightHandShadow.rx,RightHandShadow.ry,RightHandShadow.rz,RightHandShadow.rw,
-0.2079978, 0.0403656, 0.5949849,-0.9462331, 0.1234425, -0.06268629, -0.2923617,-0.02098954, 0.003854457, 0.9272351,0.7047529, 0.01877586, 0.02658923, 0.7087059,-0.05351609, 0.5683746, 0.3016301,0.1422537, 0.06520657, 0.04536912, -0.9866375,0, 0, 0,0, 0, 0, 1,-0.521228, 0.7213071, 0.8765812,0.01605523, 0.8489947, 0.02968025, -0.5273228,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.2083904, 0.04068577, 0.5947825,-0.9461868, 0.1233036, -0.06260762, -0.2925867,-0.02098954, 0.003854457, 0.9272351,0.7047529, 0.01877586, 0.02658923, 0.7087059,-0.05349484, 0.5683535, 0.3016949,0.1423712, 0.06514598, 0.0453665, -0.9866247,0, 0, 0,0, 0, 0, 1,-0.5212017, 0.7212754, 0.8766217,0.01601558, 0.8490394, 0.0296675, -0.5272528,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.2079949, 0.04033708, 0.5950655,-0.9462594, 0.1232458, -0.06239752, -0.2924214,-0.02098954, 0.003854457, 0.9272351,0.7047529, 0.01877586, 0.02658923, 0.7087059,-0.05352951, 0.5684319, 0.30165,0.142307, 0.06523035, 0.04542755, -0.9866256,0, 0, 0,0, 0, 0, 1,-0.5212107, 0.7212266, 0.8766068,0.01609334, 0.8490235, 0.02975621, -0.5272712,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.2084093, 0.04068383, 0.59481,-0.9463112, 0.1229981, -0.06270216, -0.2922927,-0.02098954, 0.003854457, 0.9272351,0.7047529, 0.01877586, 0.02658923, 0.7087059,-0.05352043, 0.5684181, 0.3016472,0.1423037, 0.06522897, 0.04545116, -0.9866251,0, 0, 0,0, 0, 0, 1,-0.5212079, 0.7212753, 0.8765776,0.015998, 0.849011, 0.0297292, -0.5272955,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.2083824, 0.04060222, 0.5950338,-0.9462732, 0.1229098, -0.0629039, -0.2924095,-0.02098954, 0.003854457, 0.9272351,0.7047529, 0.01877586, 0.02658923, 0.7087059,-0.05356672, 0.5684165, 0.3016812,0.142027, 0.06538197, 0.04541065, -0.9866567,0, 0, 0,0, 0, 0, 1,-0.521273, 0.7212804, 0.8766399,0.01601425, 0.8490519, 0.02966739, -0.5272326,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.2087714, 0.04091195, 0.5948338,-0.946273, 0.1228367, -0.0627905, -0.2924655,-0.02098954, 0.003854457, 0.9272351,0.7047529, 0.01877586, 0.02658923, 0.7087059,-0.05356787, 0.5685056, 0.3017374,0.1418191, 0.06548046, 0.04551275, -0.9866754,0, 0, 0,0, 0, 0, 1,-0.5212264, 0.7212692, 0.8766069,0.01598941, 0.8489715, 0.02968152, -0.527362,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.2086299, 0.040713, 0.5948901,-0.9464368, 0.122588, -0.06258506, -0.2920835,-0.02098954, 0.003854457, 0.9272351,0.7047529, 0.01877586, 0.02658923, 0.7087059,-0.05357546, 0.5685065, 0.3017695,0.1418538, 0.06551242, 0.04550407, -0.9866686,0, 0, 0,0, 0, 0, 1,-0.5212488, 0.7212899, 0.8765923,0.01594424, 0.8489856, 0.02967818, -0.5273409,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.2082847, 0.04046516, 0.5951005,-0.9463692, 0.1226112, -0.06279098, -0.2922484,-0.02098954, 0.003854457, 0.9272351,0.7047529, 0.01877586, 0.02658923, 0.7087059,-0.05355241, 0.5685556, 0.3017267,0.1420995, 0.06548171, 0.04557998, -0.9866318,0, 0, 0,0, 0, 0, 1,-0.5212889, 0.7212481, 0.8766134,0.01604105, 0.8490016, 0.02975803, -0.5273077,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.2086754, 0.04080528, 0.5949101,-0.9462511, 0.1226775, -0.06281878, -0.2925969,-0.02098954, 0.003854457, 0.9272351,0.7047529, 0.01877586, 0.02658923, 0.7087059,-0.05356617, 0.5685901, 0.3017328,0.1421877, 0.06541443, 0.04555791, -0.9866246,0, 0, 0,0, 0, 0, 1,-0.5212809, 0.7213184, 0.8765868,0.01601094, 0.8489984, 0.02964654, -0.52732,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.2084799, 0.04059594, 0.5948958,-0.9463556, 0.1226971, -0.06249018, -0.2923211,-0.02098954, 0.003854457, 0.9272351,0.7047529, 0.01877586, 0.02658923, 0.7087059,-0.0535452, 0.5685342, 0.30167,0.1419969, 0.06532667, 0.04550686, -0.9866602,0, 0, 0,0, 0, 0, 1,-0.5212685, 0.7213399, 0.8766006,0.01594621, 0.8490396, 0.02962808, -0.5272568,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.2088693, 0.04095317, 0.5946776,-0.9463291, 0.1226666, -0.0626147, -0.292393,-0.02098954, 0.003854457, 0.9272351,0.7047529, 0.01877586, 0.02658923, 0.7087059,-0.05355119, 0.5685436, 0.3016025,0.1416371, 0.0651357, 0.04552028, -0.986724,0, 0, 0,0, 0, 0, 1,-0.5213362, 0.7213103, 0.8765714,0.01605305, 0.8490179, 0.02962015, -0.527289,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.2086079, 0.04067343, 0.5948524,-0.9462432, 0.1226642, -0.06265607, -0.2926628,-0.02098954, 0.003854457, 0.9272351,0.7047529, 0.01877586, 0.02658923, 0.7087059,-0.05351028, 0.5684898, 0.3014289,0.1415534, 0.06496366, 0.04547606, -0.9867494,0, 0, 0,0, 0, 0, 1,-0.5213523, 0.7213509, 0.8765177,0.01605529, 0.8489865, 0.02961114, -0.5273398,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
-0.2089658, 0.04098821, 0.5946054,-0.9462064, 0.1226606, -0.06246632, -0.2928243,-0.02098954, 0.003854457, 0.9272351,0.7047529, 0.01877586, 0.02658923, 0.7087059,-0.05351086, 0.5684853, 0.3014002,0.1414851, 0.06493911, 0.04547017, -0.986761,0, 0, 0,0, 0, 0, 1,-0.5213939, 0.7213402, 0.8765162,0.01603747, 0.8490095, 0.02961599, -0.5273033,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
