FPS,30,NrOfObjects,7,LFoot,False,RFoot,False,Hip,True,Head,False,HandsPLayer,False
LFootTracker.x,LFootTracker.y,LFootTracker.z,LFootTracker.rx,LFootTracker.ry,LFootTracker.rz,LFootTracker.rw,RFootTracker.x,RFootTracker.y,RFootTracker.z,RFootTracker.rx,RFootTracker.ry,RFootTracker.rz,RFootTracker.rw,HiptrackerBack.x,HiptrackerBack.y,HiptrackerBack.z,HiptrackerBack.rx,HiptrackerBack.ry,HiptrackerBack.rz,HiptrackerBack.rw,ControlerForCalibration.x,ControlerForCalibration.y,ControlerForCalibration.z,ControlerForCalibration.rx,ControlerForCalibration.ry,ControlerForCalibration.rz,ControlerForCalibration.rw,HeadTracker.x,HeadTracker.y,HeadTracker.z,HeadTracker.rx,HeadTracker.ry,HeadTracker.rz,HeadTracker.rw,LeftHandShadow.x,LeftHandShadow.y,LeftHandShadow.z,LeftHandShadow.rx,LeftHandShadow.ry,LeftHandShadow.rz,LeftHandShadow.rw,RightHandShadow.x,RightHandShadow.y,RightHandShadow.z,RightHandShadow.rx,RightHandShadow.ry,RightHandShadow.rz,RightHandShadow.rw,
0.1302894, 0.0645071, 0.4324789,0.5930178, 0.3884706, -0.3928635, 0.5857292,0.2334749, 0.05205886, 0.03867414,0.4950039, 0.5057455, -0.50598, 0.4931297,-0.4075136, 0.5872132, 0.06304932,-0.06800029, 0.5655746, 0.1641833, 0.805323,0, 0, 0,0, 0, 0, 1,-0.2528865, 1.095504, 0.2160773,0.09086367, -0.572992, -0.07242466, -0.8112822,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
0.1302845, 0.06476508, 0.4324003,0.5932143, 0.3883623, -0.3928592, 0.585605,0.2334675, 0.05174316, 0.03854584,0.4956274, 0.5054096, -0.506411, 0.4924048,-0.4076326, 0.5868182, 0.06326802,-0.0672989, 0.5641696, 0.1640602, 0.8063919,0, 0, 0,0, 0, 0, 1,-0.2543814, 1.096079, 0.2160827,0.09551296, -0.5737144, -0.07391372, -0.8101024,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
0.1303823, 0.06505503, 0.4325516,0.5933442, 0.3883637, -0.3928312, 0.5854912,0.2334664, 0.05200984, 0.0385797,0.4946758, 0.5055589, -0.5064654, 0.493152,-0.4076946, 0.5867341, 0.06348246,-0.06843465, 0.5638869, 0.1645753, 0.806389,0, 0, 0,0, 0, 0, 1,-0.2550511, 1.096265, 0.2159331,0.09707409, -0.5736445, -0.07399956, -0.8099585,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
0.130419, 0.06514879, 0.432556,0.5934049, 0.3883885, -0.3926556, 0.5855309,0.2334558, 0.05207217, 0.03853579,0.4944008, 0.505755, -0.5061662, 0.4935337,-0.4080706, 0.586909, 0.06363926,-0.06967874, 0.5641627, 0.1652848, 0.8059443,0, 0, 0,0, 0, 0, 1,-0.2558153, 1.096562, 0.2157852,0.09851149, -0.5735126, -0.0739172, -0.8098859,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
0.1303852, 0.06533028, 0.4325181,0.5933914, 0.3882911, -0.3926579, 0.5856077,0.2333793, 0.05195263, 0.03857253,0.4941754, 0.505642, -0.5063537, 0.4936828,-0.4081646, 0.5868833, 0.06382407,-0.07087614, 0.5644891, 0.1657972, 0.8055061,0, 0, 0,0, 0, 0, 1,-0.2566191, 1.096803, 0.2155025,0.09979009, -0.5732974, -0.07373519, -0.8098982,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
0.130421, 0.06543067, 0.4325177,0.5934526, 0.3883453, -0.3925393, 0.5855893,0.2334059, 0.05193298, 0.03855566,0.4942163, 0.5053925, -0.5066018, 0.4936429,-0.4082125, 0.5867928, 0.06411546,-0.07201269, 0.5649279, 0.166183, 0.8050179,0, 0, 0,0, 0, 0, 1,-0.2574221, 1.097168, 0.2151513,0.1008817, -0.5731681, -0.07369402, -0.8098583,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
0.1304466, 0.06567779, 0.4326296,0.5935349, 0.3882567, -0.3925641, 0.585548,0.2333951, 0.05185286, 0.03859751,0.4946324, 0.5051261, -0.5068373, 0.493257,-0.4082722, 0.5867133, 0.06437027,-0.07276967, 0.5650477, 0.1664778, 0.8048049,0, 0, 0,0, 0, 0, 1,-0.2582811, 1.097534, 0.2146331,0.1020128, -0.573152, -0.07365879, -0.8097312,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
0.1304628, 0.06586331, 0.432564,0.5937374, 0.388287, -0.3924105, 0.5854257,0.2333145, 0.05164377, 0.03854272,0.4946231, 0.5048078, -0.5073066, 0.4931095,-0.4083301, 0.5865571, 0.06449991,-0.07300039, 0.5648052, 0.166527, 0.804944,0, 0, 0,0, 0, 0, 1,-0.2591299, 1.097884, 0.2139748,0.1035098, -0.5731319, -0.07406171, -0.8095186,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
0.1305136, 0.06594459, 0.4325609,0.5939348, 0.3882897, -0.3922549, 0.5853278,0.2332762, 0.05167742, 0.03852144,0.494651, 0.5046736, -0.5072805, 0.4932458,-0.4084428, 0.586341, 0.06479888,-0.07287751, 0.5643983, 0.1664141, 0.8052638,0, 0, 0,0, 0, 0, 1,-0.2597379, 1.098157, 0.21333,0.1053953, -0.5729876, -0.07463153, -0.8093252,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
0.130624, 0.06626321, 0.4324335,0.5941551, 0.3882109, -0.3921328, 0.5852383,0.2332211, 0.0518964, 0.03828778,0.4937828, 0.5048522, -0.5073714, 0.4938391,-0.4087106, 0.5859084, 0.06567018,-0.07401987, 0.5644129, 0.1662852, 0.805176,0, 0, 0,0, 0, 0, 1,-0.2602949, 1.098324, 0.2126061,0.1074493, -0.5727353, -0.07537638, -0.8091646,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
0.1306433, 0.0658766, 0.4324749,0.5942857, 0.3881367, -0.3920922, 0.5851823,0.2332165, 0.05208788, 0.0382258,0.4934383, 0.5046074, -0.5077392, 0.4940557,-0.4089989, 0.5855868, 0.06619731,-0.07543057, 0.5652637, 0.1666966, 0.8043628,0, 0, 0,0, 0, 0, 1,-0.2609288, 1.09844, 0.2118567,0.1093738, -0.5723743, -0.07601228, -0.8091027,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
0.1306902, 0.06594568, 0.4324609,0.5943431, 0.3881141, -0.3921072, 0.5851288,0.2331975, 0.05218514, 0.0381651,0.4929868, 0.5047709, -0.5077193, 0.4943596,-0.4087853, 0.5853013, 0.06679156,-0.07802036, 0.5665019, 0.1678836, 0.8029966,0, 0, 0,0, 0, 0, 1,-0.2616432, 1.098673, 0.210926,0.1109065, -0.5719119, -0.07632512, -0.8091915,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
0.1306902, 0.06594568, 0.4324609,0.5943431, 0.3881141, -0.3921072, 0.5851288,0.2331975, 0.05218514, 0.0381651,0.4929868, 0.5047709, -0.5077193, 0.4943596,-0.4087853, 0.5853013, 0.06679156,-0.07802036, 0.5665019, 0.1678836, 0.8029966,0, 0, 0,0, 0, 0, 1,-0.2625078, 1.098907, 0.2100575,0.1122673, -0.5714688, -0.07639115, -0.8093107,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
0.1306209, 0.06589404, 0.4324651,0.5944698, 0.388128, -0.3918545, 0.5851602,0.233179, 0.05241219, 0.03815859,0.4928178, 0.5047092, -0.5078272, 0.4944804,-0.4087939, 0.585228, 0.06729052,-0.08086719, 0.5675942, 0.1692677, 0.8016519,0, 0, 0,0, 0, 0, 1,-0.2633713, 1.099348, 0.2088498,0.1130628, -0.5707785, -0.07638345, -0.8096877,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
0.1306499, 0.06596242, 0.4324558,0.5945075, 0.3880297, -0.3919222, 0.5851418,0.2331343, 0.05259394, 0.03808424,0.4918488, 0.5050897, -0.5076353, 0.495253,-0.4079855, 0.5845417, 0.0678701,-0.08277898, 0.5684366, 0.1697088, 0.8007661,0, 0, 0,0, 0, 0, 1,-0.264264, 1.099688, 0.2076335,0.1138651, -0.5699783, -0.07636996, -0.8101403,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
0.1305683, 0.06557217, 0.4324758,0.5945667, 0.3880013, -0.3917044, 0.5852462,0.2331157, 0.05246428, 0.03799974,0.4916408, 0.5051521, -0.5075069, 0.4955274,-0.4081084, 0.5843264, 0.06830704,-0.08417193, 0.5689783, 0.1700182, 0.8001704,0, 0, 0,0, 0, 0, 1,-0.2652164, 1.10013, 0.2061625,0.1142075, -0.5690468, -0.07626636, -0.8107564,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
0.1306039, 0.06559411, 0.4324544,0.5948028, 0.3879403, -0.3916203, 0.585103,0.2330881, 0.05250946, 0.03790867,0.4915431, 0.5051569, -0.5075252, 0.4956006,-0.408407, 0.5841632, 0.06861836,-0.08512669, 0.5690827, 0.1698802, 0.8000244,0, 0, 0,0, 0, 0, 1,-0.2662843, 1.100616, 0.2045507,0.1141696, -0.5681363, -0.07603324, -0.8114219,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
0.1305453, 0.06573528, 0.4324948,0.5950831, 0.38784, -0.3915626, 0.5849231,0.2331179, 0.05261867, 0.03786016,0.4909942, 0.5051292, -0.5080032, 0.4956833,-0.4085932, 0.5839585, 0.06905908,-0.08560724, 0.5686957, 0.1696712, 0.8002927,0, 0, 0,0, 0, 0, 1,-0.2672899, 1.101208, 0.2025396,0.1137169, -0.5670362, -0.07621218, -0.8122377,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
0.1305702, 0.06582537, 0.4324893,0.5950485, 0.3878668, -0.391417, 0.5850379,0.2331519, 0.05291126, 0.03776189,0.4908668, 0.5050588, -0.5082746, 0.495603,-0.4095054, 0.5841544, 0.06919537,-0.08605862, 0.5683766, 0.1694537, 0.800517,0, 0, 0,0, 0, 0, 1,-0.2681218, 1.101773, 0.200375,0.1133764, -0.5657329, -0.07698786, -0.8131205,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
0.1304792, 0.0656665, 0.4326687,0.5952263, 0.3878832, -0.3912606, 0.5849507,0.2330502, 0.0525437, 0.03761397,0.4901344, 0.5054298, -0.5081696, 0.4960571,-0.4107693, 0.5837777, 0.06977072,-0.0859934, 0.5683626, 0.1681834, 0.8008018,0, 0, 0,0, 0, 0, 1,-0.2689419, 1.102356, 0.1979535,0.1129104, -0.5643847, -0.07808967, -0.8140166,0, 0, -0.03,0, 0, 0, 1,0, 0, -0.03,0, 0, 0, 1,
